Municipio,Año,Subtipo de delito,Casos
Tarandacuao,2025,Homicidio culposo,3.0
Tarandacuao,2025,Homicidio doloso,0.0
Tarimoro,2020,Homicidio culposo,14.0
Tarimoro,2020,Homicidio doloso,45.0
Tarimoro,2021,Homicidio culposo,5.0
Tarimoro,2021,Homicidio doloso,31.0
Tarimoro,2022,Homicidio culposo,4.0
Tarimoro,2022,Homicidio doloso,35.0
Tarimoro,2023,Homicidio culposo,9.0
Tarimoro,2023,Homicidio doloso,35.0
Tarimoro,2024,Homicidio culposo,5.0
Tarimoro,2024,Homicidio doloso,50.0
Tarimoro,2025,Homicidio culposo,7.0
Tarimoro,2025,Homicidio doloso,30.0
Tierra Blanca,2020,Homicidio culposo,6.0
Tierra Blanca,2020,Homicidio doloso,3.0
Tierra Blanca,2021,Homicidio culposo,1.0
Tierra Blanca,2021,Homicidio doloso,1.0
Tierra Blanca,2022,Homicidio culposo,3.0
Tierra Blanca,2022,Homicidio doloso,1.0
Tierra Blanca,2023,Homicidio culposo,1.0
Tierra Blanca,2023,Homicidio doloso,1.0
Tierra Blanca,2024,Homicidio culposo,4.0
Tierra Blanca,2024,Homicidio doloso,2.0
Tierra Blanca,2025,Homicidio culposo,4.0
Tierra Blanca,2025,Homicidio doloso,0.0
Uriangato,2020,Homicidio culposo,13.0
Uriangato,2020,Homicidio doloso,50.0
Uriangato,2021,Homicidio culposo,10.0
Uriangato,2021,Homicidio doloso,35.0
Uriangato,2022,Homicidio culposo,6.0
Uriangato,2022,Homicidio doloso,17.0
Uriangato,2023,Homicidio culposo,10.0
Uriangato,2023,Homicidio doloso,8.0
Uriangato,2024,Homicidio culposo,11.0
Uriangato,2024,Homicidio doloso,7.0
Uriangato,2025,Homicidio culposo,11.0
Uriangato,2025,Homicidio doloso,5.0
Valle de Santiago,2020,Homicidio culposo,63.0
Valle de Santiago,2020,Homicidio doloso,72.0
Valle de Santiago,2021,Homicidio culposo,15.0
Valle de Santiago,2021,Homicidio doloso,103.0
Valle de Santiago,2022,Homicidio culposo,21.0
Valle de Santiago,2022,Homicidio doloso,68.0
Valle de Santiago,2023,Homicidio culposo,34.0
Valle de Santiago,2023,Homicidio doloso,105.0
Valle de Santiago,2024,Homicidio culposo,33.0
Valle de Santiago,2024,Homicidio doloso,79.0
Valle de Santiago,2025,Homicidio culposo,27.0
Valle de Santiago,2025,Homicidio doloso,118.0
Victoria,2020,Homicidio culposo,4.0
Victoria,2020,Homicidio doloso,1.0
Victoria,2021,Homicidio culposo,2.0
Victoria,2021,Homicidio doloso,0.0
Victoria,2022,Homicidio culposo,2.0
Victoria,2022,Homicidio doloso,1.0
Victoria,2023,Homicidio culposo,2.0
Victoria,2023,Homicidio doloso,5.0
Victoria,2024,Homicidio culposo,4.0
Victoria,2024,Homicidio doloso,0.0
Victoria,2025,Homicidio culposo,1.0
Victoria,2025,Homicidio doloso,5.0
Villagrán,2020,Homicidio culposo,25.0
Villagrán,2020,Homicidio doloso,43.0
Villagrán,2021,Homicidio culposo,7.0
Villagrán,2021,Homicidio doloso,36.0
Villagrán,2022,Homicidio culposo,13.0
Villagrán,2022,Homicidio doloso,54.0
Villagrán,2023,Homicidio culposo,21.0
Villagrán,2023,Homicidio doloso,15.0
Villagrán,2024,Homicidio culposo,27.0
Villagrán,2024,Homicidio doloso,25.0
Villagrán,2025,Homicidio culposo,14.0
Villagrán,2025,Homicidio doloso,31.0
Xichú,2020,Homicidio culposo,1.0
Xichú,2020,Homicidio doloso,2.0
Xichú,2021,Homicidio culposo,0.0
Xichú,2021,Homicidio doloso,0.0
Xichú,2022,Homicidio culposo,0.0
Xichú,2022,Homicidio doloso,2.0
Xichú,2023,Homicidio culposo,0.0
Xichú,2023,Homicidio doloso,3.0
Xichú,2024,Homicidio culposo,3.0
Xichú,2024,Homicidio doloso,1.0
Xichú,2025,Homicidio culposo,2.0
Xichú,2025,Homicidio doloso,0.0
Yuriria,2020,Homicidio culposo,16.0
Yuriria,2020,Homicidio doloso,67.0
Yuriria,2021,Homicidio culposo,9.0
Yuriria,2021,Homicidio doloso,74.0
Yuriria,2022,Homicidio culposo,14.0
Yuriria,2022,Homicidio doloso,34.0
Yuriria,2023,Homicidio culposo,7.0
Yuriria,2023,Homicidio doloso,21.0
Yuriria,2024,Homicidio culposo,7.0
Yuriria,2024,Homicidio doloso,45.0
Yuriria,2025,Homicidio culposo,8.0
Yuriria,2025,Homicidio doloso,23.0
